ID,Statement,Subject,Context,Difficulty,AgeRange,Mathematics,OriginalActivity
matematica_general_r1tex2_1757769156187,"🏄 O surfista pegou 38 ondas de manhã e 62 à tarde. Quantas ondas surfou hoje? 🌊",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_xktwur_1757769156187,"🏆 No torneio, marquei 649 pontos na semifinal e 392 na final. Quantos pontos no total? ⚡",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_cxrfyy_1757769156187,"🎮 O gamer fez 371 kills no primeiro mapa e 312 no segundo. Quantos kills ao todo? 💀",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_i25vjg_1757769156187,"🎪 O acrobata deu 185 saltos no primeiro número e 288 no segundo. Total de saltos? 🤸",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_sfdgjq_1757769156187,"🚀 A nave coletou 614 cristais no planeta azul e 859 no planeta vermelho. Quantos cristais? 💎",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_zzfmq_1757769156187,"🎬 O filme arrecadou R$ 762 na primeira semana e R$ 474 na segunda. Total arrecadado? 💰",matematica,general,Aventureiro,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_5ulluk_1757769156187,"🏛️ O templo recebeu 1,900 visitantes de manhã e 1,126 à tarde. Quantas pessoas visitaram? 👥",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_dbojf8_1757769156187,"📜 O sábio escreveu 764 pergaminhos na primeira semana e 1,080 na segunda. Quantos pergaminhos? ✍️",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_o75wk_1757769156187,"💎 A mina produziu 1,147 gemas preciosas de manhã e 1,144 à tarde. Total de gemas? ⛏️",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_bknbpa_1757769156187,"🌟 O observatório detectou 2,698 estrelas no telescópio 1 e 2,317 no telescópio 2. Quantas estrelas? 🔭",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_tptcwb_1757769156187,"🎭 O teatro vendeu 1,781 ingressos online e 1,305 na bilheteria. Total de ingressos vendidos? 🎫",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_lsz4jv_1757769156187,"🧪 O cientista fez 1,951 experimentos na primeira fase e 1,520 na segunda. Quantos experimentos? 🔬",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_sooiil_1757769156187,"🤖 A fábrica produziu 3,191 robôs no turno da manhã e 4,267 no da tarde. Quantos robôs? 🏭",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_5yf5q_1757769156187,"🚀 A estação espacial recebeu 4,777 suprimentos na cápsula 1 e 3,163 na cápsula 2. Total? 📦",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_m0sx8g_1757769156187,"💻 O data center processou 2,412 dados de manhã e 4,262 à tarde. Quantos dados processados? 📊",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_toys_5u18y3_1757769156187,"🎮 O servidor do jogo registrou 3,927 logins de manhã e 2,427 à tarde. Total de logins? 👾",matematica,toys,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_4ttz8y_1757769156187,"🏰 O reino arrecadou 3,389 moedas de impostos e 5,223 de comércio. Quantas moedas no tesouro? 💰",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_781vew_1757769156187,"🎪 O festival real teve 6,812 visitantes no primeiro dia e 6,729 no segundo. Quantos visitantes? 🎭",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_xe6zpn_1757769156187,"⚔️ O exército tem 2,667 soldados na infantaria e 4,602 na cavalaria. Quantos soldados? 🛡️",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_ydn8br_1757769156187,"🎨 O palácio tem 7,165 pinturas na ala leste e 7,009 na ala oeste. Quantas pinturas ao todo? 🖼️",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_j0hlny_1757769156187,"🌟 A cerimônia real teve 8,084 convidados nobres e 8,594 convidados especiais. Total de convidados? 👑",matematica,general,Mestre,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_83sr2x_1757769156187,"🚀 A frota espacial coletou 25,872 minérios no asteroide Alpha e 25,345 no asteroide Beta. Total de minérios? 🌌",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_qvqv4c_1757769156188,"🌟 O observatório galáctico registrou 20,417 sinais no setor norte e 31,665 no setor sul. Quantos sinais? 📡",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_52wn7z_1757769156188,"👽 A estação recebeu 24,627 visitantes da Terra e 32,995 de outros planetas. Quantos visitantes? 🛸",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_2mfda7_1757769156188,"💎 A mineração espacial extraiu 39,117 cristais do cometa azul e 48,140 do cometa vermelho. Total? ⛏️",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_hm2clm_1757769156188,"🌍 A confederação tem 38,465 habitantes na Terra e 44,686 em Marte. Quantos habitantes no total? 🪐",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_unh1kz_1757769156188,"🐲 O dragão guardava 54,984 moedas de ouro na câmara secreta e 31,054 na torre. Quantas moedas? 💰",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_4hn74_1757769156188,"🏰 O reino mágico tem 35,772 feiticeiros na academia e 65,244 em missões. Quantos feiticeiros? ⚡",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_xqgsc4_1757769156188,"🗡️ O herói derrotou 74,468 monstros na floresta sombria e 44,484 no vale perdido. Quantos monstros? ⚔️",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_yhdor5_1757769156188,"🔮 A profecia fala de 83,395 guerreiros da luz e 57,852 guerreiros das sombras. Total de guerreiros? 🌟",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_calculator_ll0pr7_1757769156188,"🎭 A lenda conta 81,812 histórias do passado e 45,916 do futuro. Quantas histórias na lenda? 📚",matematica,calculator,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_t1v459_1757769156188,"🌟 O universo contém 65,551 galáxias conhecidas e 84,802 galáxias descobertas recentemente. Total de galáxias? 🌌",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_qt37jo_1757769156188,"🏆 O campeonato mundial registrou 78,872 espectadores online e 56,162 presenciais. Quantos espectadores? 🎮",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_1u8x13_1757769156188,"💎 A corporação intergaláctica faturou 97,783 créditos no primeiro trimestre e 91,020 no segundo. Total faturado? 💰",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_kvbuqn_1757769156188,"🚀 A missão espacial coletou 88,897 amostras no planeta X e 65,171 no planeta Y. Quantas amostras? 🧪",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
matematica_general_k8b4je_1757769156188,"🎯 O mestre supremo acumulou 76,556 pontos de sabedoria e 82,045 pontos de experiência. Total de pontos? ⭐",matematica,general,Lenda,6-8,calculo,🧮 Calculadora Digital Expert
historia_general_j2qpx5_1757769156188,", error); }); setMusicPlaying(true); } } }; // Função para reduzir temporariamente o volume da música de fundo const reduceBackgroundVolume = () => { if (backgroundMusic && musicPlaying) { backgroundMusic.volume = 0.05; // Reduz para 5% durante áudio educacional } }; // Função para restaurar o volume normal da música de fundo const restoreBackgroundVolume = () => { if (backgroundMusic && musicPlaying) { setTimeout(() => { backgroundMusic.volume = 0.15; // Volta para 15% após áudio }, 500); // Pequeno delay para suavizar a transição } }; // Função para tocar som de feedback (acerto/erro) const playFeedbackSound = (isCorrect) => { try { const soundType = isCorrect ?",historia,general,hard,6-8,divisão,Construtor de História do Brasil
historia_general_33qamg_1757769156188,"Pense: o que aconteceu primeiro?",historia,general,medium,6-8,N/A,Construtor de História do Brasil
historia_general_d3pz0_1757769156188,"); if (!draggedEvent) return; const isCorrect = draggedEvent.id === position; const attemptData = { timestamp: new Date(), eventId: draggedEvent.id, positionTried: position + 1, correct: isCorrect, eventTitle: draggedEvent.title, eventYear: draggedEvent.year }; setAttempts(prev => [...prev, attemptData]); // Tocar som de feedback imediatamente playFeedbackSound(isCorrect); if (isCorrect) { const newPlaced = [...placedEvents]; newPlaced[position] = draggedEvent; setPlacedEvents(newPlaced); setCorrectCount(prev => prev + 1); setAvailableEvents(prev => prev.filter(e => e.id !== draggedEvent.id)); setCelebrationMessage(celebrations[position]); setShowCelebration(true); setTimeout(() => setShowCelebration(false), 3000); if (correctCount + 1 === 5) { setTimeout(() => { const endTime = new Date(); const totalTime = startTime ? Math.round((endTime - startTime) / 1000) : 0; const earnedBadges = evaluateAndAwardBadges(selectedBlock, correctCount + 1, totalTime); setGameCompleted(true); }, 1000); } } else { setErrorCount(prev => prev + 1); const randomError = errorMessages[Math.floor(Math.random() * errorMessages.length)]; setErrorMessage(randomError); setShowError(true); setTimeout(() => setShowError(false), 2500); } setDraggedEvent(null); }; const evaluateAndAwardBadges = (blockId, correctCount, totalTime) => { const result = badgeSystem.evaluateBadge(blockId, correctCount, totalTime, attempts.length, errorCount); const currentBadges = badgeSystem.storage.loadBadges(studentName); currentBadges[`block_${blockId}`] = result.earnedBadges; badgeSystem.storage.saveBadges(studentName, currentBadges); // Salvar dados da sessão para agregação const sessionData = { blockId, blockName: blockTitles[blockId], correctCount, totalTime, attempts: [...attempts], badges: result.earnedBadges, finalPercentage: result.finalPercentage, errorCount, timestamp: new Date() }; setAllSessionData(prev => [...prev, sessionData]); setSessionBadges(result.earnedBadges); setStudentBadges(currentBadges); return result; }; const BadgeDisplay = ({ badges, blockId }) => ( <div className=",historia,general,medium,6-8,adição,Construtor de História do Brasil
historia_general_mwa668_1757769156188,">{badgeData.description}</div> </div> ); })} </div> ); const downloadCSV = () => { const endTime = new Date(); const totalTime = startTime ? Math.round((endTime - startTime) / 1000) : 0; const detailedAttempts = attempts.map((attempt, index) => [ studentName, attempt.timestamp.toISOString(), `Tentativa_${index + 1}`, attempt.eventTitle.replace(/[^a-zA-Z0-9\\s]/g,",historia,general,medium,6-8,adição,Construtor de História do Brasil
historia_general_2qfuta_1757769156188,"), attempt.eventYear, `Posicao_${attempt.positionTried}`, attempt.correct ?",historia,general,medium,6-8,N/A,Construtor de História do Brasil
historia_general_qhciq_1757769156188,"> <button onClick={startGame} disabled={!studentName.trim()} className={`w-full px-6 py-4 rounded-lg text-xl font-bold transition-all ${ studentName.trim() ?",historia,general,medium,6-8,subtração,Construtor de História do Brasil
historia_general_nwjciz_1757769156188,"> {percentage >= 80 ?",historia,general,medium,6-8,N/A,Construtor de História do Brasil
historia_general_l3ekee_1757769156188,": percentage >= 60 ?",historia,general,medium,6-8,N/A,Construtor de História do Brasil
historia_general_1dhlzg_1757769156189,"> {[0, 1, 2, 3, 4].map((position) => ( <div key={position} onDragOver={handleDragOver} onDragLeave={handleDragLeave} onDrop={(e) => handleDrop(e, position)} className={` drop-zone h-[80px] p-4 rounded-lg border-3 flex items-center justify-center text-lg font-bold transition-all duration-300 ${placedEvents[position] !== null ? `${eventBlocks[selectedBlock][position].color} border-solid border-gray-700 text-white` :",historia,general,medium,6-8,subtração,Construtor de História do Brasil
historia_general_8a9mdy_1757769156189,"} `} > {placedEvents[position] !== null ? ( <div className=",historia,general,medium,6-8,N/A,Construtor de História do Brasil
historia_general_sx3d4_1757769156189,"] }; // Função para tocar som de feedback (acerto/erro) const playFeedbackSound = (isCorrect) => { try { const soundType = isCorrect ?",historia,general,hard,6-8,divisão,Detective da História - Independência do Brasil
historia_general_osxhh_1757769156189,"Pense: quando isso aconteceu?",historia,general,medium,6-8,N/A,Corrida da História do Brasil
historia_general_s628xv_1757769156189,"] ]; allSessionData.forEach(session => { const errorCount = session.totalAttempts - session.stars; const averageTime = session.attempts.length > 0 ? Math.round(session.attempts.reduce((sum, attempt) => sum + attempt.responseTime, 0) / session.attempts.length) : 8; csvData.push([ studentName,",historia,general,medium,6-8,adição,Corrida da História do Brasil
historia_general_qhciq_1757769156189,"> <button onClick={startGame} disabled={!studentName.trim()} className={`w-full px-6 py-4 rounded-lg text-xl font-bold transition-all ${ studentName.trim() ?",historia,general,medium,6-8,subtração,Detective da História - Independência do Brasil
historia_general_sipo12_1757769156189,"> {score >= 5 ?",historia,general,medium,6-8,N/A,Corrida da História do Brasil
historia_general_jqxuj_1757769156189,": score >= 3 ?",historia,general,medium,6-8,N/A,Corrida da História do Brasil
historia_general_n7le9c_1757769156189,"> {[...Array(5)].map((_, i) => ( <span key={i} className={`text-4xl mx-1 ${i < score ?",historia,general,medium,6-8,subtração,Corrida da História do Brasil
historia_general_zh34bg_1757769156189,"> {[...Array(5)].map((_, i) => ( <span key={i} className={`text-3xl ${i < score ?",historia,general,medium,6-8,subtração,Corrida da História do Brasil
historia_general_8i8y06_1757769156189,"> {currentEvent ? ( <div className=",historia,general,medium,6-8,N/A,Corrida da História do Brasil
historia_general_cqj3hh_1757769156189,"> <div className={`h-full rounded-full transition-all duration-1000 ${ timeLeft > maxTime * 0.6 ?",historia,general,medium,6-8,subtração,Corrida da História do Brasil
historia_general_msn8ex_1757769156189,": timeLeft > maxTime * 0.3 ?",historia,general,medium,6-8,multiplicação,Corrida da História do Brasil
historia_general_ybxk36_1757769156189,"> {eventBlocks[selectedBlock].timeline.map((year, index) => ( <button key={year} onClick={() => handleSlotClick(year)} disabled={!currentEvent} className={` flex-1 mx-2 min-h-[80px] p-4 rounded-xl border-3 border-dashed transition-all duration-300 text-center font-bold ${currentEvent ?",historia,general,medium,6-8,subtração,Corrida da História do Brasil
historia_general_vs2hwg_1757769156189,"); setShowCelebration(true); setTimeout(() => setShowCelebration(false), 3000); setTimeout(() => setGameCompleted(true), 1000); }, 500); } }; const downloadAggregatedCSV = () => { if (attempts.length === 0) return; const endTime = new Date(); const totalTime = startTime ? Math.round((endTime - startTime) / 1000) : 0; const errorCount = attempts.filter(attempt => !attempt.correct).length; const csvData = [ [",historia,general,medium,6-8,subtração,Detective da História - Independência do Brasil
historia_general_axzljt_1757769156189,"style={{ width: `${(solvedMysteries.length / 5) * 100}%` }} ></div> </div> </div> {/* Mesa de dossiês */} {!currentMystery ? ( <div className=",historia,general,medium,6-8,multiplicação,Detective da História - Independência do Brasil
historia_general_tod0k2_1757769156189,"> {mysteries.map((mystery) => ( <button key={mystery.id} onClick={() => openMystery(mystery.id)} disabled={solvedMysteries.includes(mystery.id)} className={` relative p-6 rounded-xl border-4 transition-all duration-300 transform ${solvedMysteries.includes(mystery.id) ?",historia,general,medium,6-8,subtração,Detective da História - Independência do Brasil
historia_general_i20tmj_1757769156190,"> 🎯 Qual é o evento histórico? </h3> {revealedClues.length === 3 ? ( <div className=",historia,general,hard,6-8,divisão,Detective da História - Independência do Brasil
historia_general_fhbxxq_1757769156190,"> Com base nas evidências, qual evento histórico você identifica? </p> {mysteries[currentMystery].alternatives.map((alternative, index) => ( <button key={index} onClick={() => selectSolution(alternative)} className=",historia,general,hard,6-8,divisão,Detective da História - Independência do Brasil
historia_general_jiau1g_1757769156190,"> {sortedMysteries.map((mystery, index) => ( <button key={mystery.id} onClick={() => { if (timelineOrder.length === 0 || timelineOrder[timelineOrder.length - 1] !== index) { const newOrder = [...timelineOrder, index]; setTimelineOrder(newOrder); if (newOrder.length > 1) { handleTimelineConnection(newOrder[newOrder.length - 2], index); } } }} className={` flex-1 mx-2 p-4 rounded-xl border-4 transition-all duration-300 text-center ${timelineOrder.includes(index) ?",historia,general,medium,6-8,subtração,Detective da História - Independência do Brasil
historia_general_vqo634_1757769156190,"> {score >= 90 ?",historia,general,medium,6-8,N/A,Detective da História - Independência do Brasil
historia_general_h04a63_1757769156190,": score >= 70 ?",historia,general,medium,6-8,N/A,Detective da História - Independência do Brasil
matematica_shopping_o76kyh_1757769156190,"Você acabou de entrar no Roblox! Seu avatar precisa de roupas novas. Você encontrou 3 lojas, cada uma vendendo 2 camisetas legais. Quantas camisetas diferentes você pode escolher no total?",matematica,shopping,medium,6-8,calculo,Fazenda de Mobs
matematica_general_ord8jd_1757769156190,", você ganhou 4 ovos especiais. Cada ovo sempre dá exatamente 3 pets quando quebra. Se você quebrar todos os ovos, quantos pets novos você terá?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_general_hphf6s_1757769156190,"e chegou numa sala com 5 plataformas. Em cada plataforma há exatamente 2 moedas brilhantes para coletar. Quantas moedas você conseguirá pegar nesta sala?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_general_6ru89b_1757769156190,", você construiu 2 cercados gigantes. Cada cercado abriga exatamente 4 dinossauros bebês. Quantos dinossauros bebês você está cuidando no total?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_farm_nbj539_1757769156190,"trabalhando como entregador. Você fez 3 viagens de entrega hoje. Em cada viagem, você entregou exatamente 5 pizzas quentinhas. Quantas pizzas você entregou no dia todo?",matematica,farm,medium,6-8,calculo,Fazenda de Mobs
matematica_general_nlsvif_1757769156190,", você descobriu um asteroide raro com 7 pontos de escavação. Cada ponto sempre rende exatamente 6 cristais preciosos quando minerado completamente. Se você minerar todo o asteroide, quantos cristais terá coletado?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_shopping_ixmf76_1757769156190,". Hoje chegaram 6 caminhões de entrega, cada um trazendo exatamente 8 carros novos para sua loja. Quantos carros novos você recebeu para vender?",matematica,shopping,medium,6-8,calculo,Fazenda de Mobs
matematica_general_izq6kq_1757769156190,", você formou uma guilda com 8 membros (incluindo você). Cada membro da guilda ganhou exatamente 7 pontos de experiência na última missão. Quantos pontos de experiência sua guilda ganhou no total?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_home_cxjq6s_1757769156190,"como chef. Para o jantar especial de hoje, você precisa preparar 9 mesas VIP. Cada mesa VIP sempre serve exatamente 5 pratos principais. Quantos pratos principais você precisa cozinhar?",matematica,home,medium,6-8,calculo,Fazenda de Mobs
matematica_general_qxwhhc_1757769156190,", você está treinando com 6 colegas novatos. O instrutor deu para cada um de vocês exatamente 9 exercícios especiais para praticar esta semana. Quantos exercícios no total o grupo inteiro precisa completar?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_shopping_qmrx4o_1757769156190,"no Roblox e agora possui 12 lojas diferentes espalhadas pelo mapa. Cada loja gera exatamente 15 Robux de lucro por dia. Se todas as lojas funcionarem perfeitamente por um dia inteiro, quanto Robux você ganhará?",matematica,shopping,medium,6-8,calculo,Fazenda de Mobs
matematica_shopping_qpuial_1757769156190,"🏪[💰15] × 12 lojas = ? Robux por dia",matematica,shopping,medium,6-8,multiplicação,Fazenda de Mobs
matematica_farm_xaovye_1757769156190,", você é técnico de 14 equipes diferentes. Cada equipe tem exatamente 11 jogadores prontos para competir. Quantos atletas estão sob sua responsabilidade no total?",matematica,farm,medium,6-8,calculo,Fazenda de Mobs
matematica_calculator_uczpn2_1757769156190,"e recebeu uma encomenda gigante: construir 16 edifícios residenciais idênticos. Cada edifício precisa de exatamente 13 tipos diferentes de materiais de construção. Quantos tipos de materiais você precisa calcular no total?",matematica,calculator,medium,6-8,calculo,Fazenda de Mobs
matematica_general_4e37om_1757769156190,", você é organizador de 13 palcos simultâneos. Cada palco terá exatamente 12 apresentações musicais durante o evento. Quantas apresentações musicais acontecerão no festival inteiro?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_general_sqwntp_1757769156190,". Sua aliança controla 15 planetas habitados. Cada planeta contribui com exatamente 14 naves de guerra para a frota unificada. Quantas naves de guerra sua aliança possui no total?",matematica,general,medium,6-8,calculo,Fazenda de Mobs
matematica_general_acj214_1757769156190,">{questionData.visual}</div> {!showFeedback ? ( <div className=",matematica,general,hard,6-8,divisão,Fazenda de Mobs
matematica_general_5ofv42_1757769156190,"> Confirmar </button> </div> ) : ( <div className={`text-center p-6 rounded-lg ${isCorrect ?",matematica,general,medium,6-8,subtração,Fazenda de Mobs
matematica_general_ycsp7g_1757769156190,"}`}> <h4 className={`text-2xl font-bold ${isCorrect ?",matematica,general,medium,6-8,subtração,Fazenda de Mobs
matematica_general_tyjins_1757769156190,"}`}>{isCorrect ?",matematica,general,medium,6-8,N/A,Fazenda de Mobs
matematica_você acabou de criar sua conta no roblox e ganhou 50 robux de bônus! hora de personalizar seu avatar._vpjj8r_1757769156190,"Você acabou de criar sua conta no Roblox e ganhou 50 Robux de bônus! Hora de personalizar seu avatar. Compre uma camisa (10 Robux) e um chapéu (15 Robux). Quanto você gastará no total?",matematica,Você acabou de criar sua conta no Roblox e ganhou 50 Robux de bônus! Hora de personalizar seu avatar.,Fácil,6-8,calculo,Loja do Roblox - Nível 2
matematica_seu avatar está ficando massa! agora você quer adicionar óculos para ficar ainda mais estiloso._412397_1757769156190,"Seu avatar está ficando massa! Agora você quer adicionar óculos para ficar ainda mais estiloso. Compre os óculos (8 Robux). Somando com suas compras anteriores, quanto gastou no total?",matematica,Seu avatar está ficando massa! Agora você quer adicionar óculos para ficar ainda mais estiloso.,Fácil,6-8,N/A,Loja do Roblox - Nível 2
matematica_você quer saber se ainda tem dinheiro para comprar outras coisas legais._43tu4p_1757769156190,"Você quer saber se ainda tem dinheiro para comprar outras coisas legais. Você tinha 50 Robux e já gastou 33. Quantos Robux sobraram?",matematica,Você quer saber se ainda tem dinheiro para comprar outras coisas legais.,Fácil,6-8,calculo,Loja do Roblox - Nível 2
matematica_legal! você descobriu que ainda pode comprar mais coisas! vamos ver se dá para comprar os tênis._sewqkt_1757769156190,"Legal! Você descobriu que ainda pode comprar mais coisas! Vamos ver se dá para comprar os tênis. Adicione os tênis (12 Robux) ao seu carrinho. Quanto você gastará no total até agora?",matematica,Legal! Você descobriu que ainda pode comprar mais coisas! Vamos ver se dá para comprar os tênis.,Fácil,6-8,N/A,Loja do Roblox - Nível 2
